LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
48m         Normal    Pulled                         pod/identity-asset-service-7cf5978966-h4rxp              Successfully pulled image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 17.542s (17.542s including waiting). Image size: 131474668 bytes.
48m         Normal    Pulled                         pod/merchant-catalog-service-65bd4fcf56-8b7vs            Successfully pulled image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 18.031s (18.031s including waiting). Image size: 130637007 bytes.
48m         Normal    Pulled                         pod/engagement-platform-service-b6f9bd8c9-mmpz7          Successfully pulled image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 22.219s (22.219s including waiting). Image size: 130689192 bytes.
48m         Normal    Created                        pod/mysql-0                                              Container created
48m         Normal    Pulled                         pod/mysql-0                                              Successfully pulled image "ghcr.io/puaa-team/aituan/mysql:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 15.074s (15.074s including waiting). Image size: 233592656 bytes.
48m         Normal    Started                        pod/mysql-0                                              Container started
48m         Normal    Pulled                         pod/trade-fulfillment-service-5f9dd448d4-5w64w           Successfully pulled image "ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 20.711s (20.711s including waiting). Image size: 123123457 bytes.
47m         Warning   Unhealthy                      pod/api-gateway-6487dd55d9-rqth9                         Startup probe failed: Get "http://10.42.0.116:8080/actuator/health": dial tcp 10.42.0.116:8080: connect: connection refused
47m         Normal    Pulled                         pod/merchant-catalog-service-65bd4fcf56-8b7vs            Container image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
47m         Normal    Pulled                         pod/identity-asset-service-7cf5978966-h4rxp              Container image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
47m         Normal    Started                        pod/merchant-catalog-service-65bd4fcf56-8b7vs            Container started
47m         Normal    Created                        pod/identity-asset-service-7cf5978966-h4rxp              Container created
47m         Normal    Started                        pod/identity-asset-service-7cf5978966-h4rxp              Container started
47m         Normal    Created                        pod/merchant-catalog-service-65bd4fcf56-8b7vs            Container created
47m         Normal    Created                        pod/trade-fulfillment-service-5f9dd448d4-5w64w           Container created
47m         Normal    Pulled                         pod/trade-fulfillment-service-5f9dd448d4-5w64w           Container image "ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" already present on machine and can be accessed by the pod
47m         Normal    Started                        pod/trade-fulfillment-service-5f9dd448d4-5w64w           Container started
47m         Normal    SuccessfulDelete               replicaset/api-gateway-6b89d8fb99                        Deleted pod: api-gateway-6b89d8fb99-kkhfv
47m         Normal    Created                        pod/engagement-platform-service-b6f9bd8c9-mmpz7          Container created
